Year,WZ2008_Code,Economic_Activity,Employee_Size_Class,Enterprises,Local units,Persons employed,Turnover,Turnover per enterprise,Turnover per person employed,Input of goods,Gross capital formation,Disposal of tangible fixed assets,Gross yield ratio,Expenditure
2005,WZ08-453,Sale of motor vehicle parts and accessories,20 or more persons employed,521.0,3068.0,56769.0,14799.0,28432.0,261.0,10495.0,161.0,20.0,29.1,13973.0
2005,WZ08-4531,"Wholesale trade of motor vehicle parts, accessor.",1 to 2 persons employed,881.0,881.0,1227.0,299.0,339.0,244.0,241.0,5.0,0.0,19.4,286.0
2005,WZ08-4531,"Wholesale trade of motor vehicle parts, accessor.",3 to 5 persons employed,597.0,650.0,2207.0,378.0,633.0,171.0,263.0,2.0,1.0,30.3,355.0
2005,WZ08-4531,"Wholesale trade of motor vehicle parts, accessor.",6 to 19 persons employed,619.0,703.0,6696.0,1316.0,2125.0,197.0,896.0,14.0,2.0,31.9,1198.0
2005,WZ08-4531,"Wholesale trade of motor vehicle parts, accessor.",20 or more persons employed,348.0,1294.0,33287.0,10718.0,30783.0,322.0,7844.0,122.0,13.0,26.8,10009.0
2005,WZ08-4532,"Retail trade of motor vehicle parts, accessories",1 to 2 persons employed,3199.0,3255.0,4736.0,583.0,182.0,123.0,404.0,8.0,2.0,30.8,498.0
2005,WZ08-4532,"Retail trade of motor vehicle parts, accessories",3 to 5 persons employed,2150.0,2171.0,7445.0,680.0,316.0,91.0,478.0,8.0,2.0,29.7,667.0
2005,WZ08-4532,"Retail trade of motor vehicle parts, accessories",6 to 19 persons employed,1357.0,1573.0,13169.0,1618.0,1193.0,123.0,951.0,27.0,5.0,41.2,1475.0
2005,WZ08-4532,"Retail trade of motor vehicle parts, accessories",20 or more persons employed,172.0,1774.0,23482.0,4081.0,23681.0,174.0,2652.0,39.0,6.0,35.0,3964.0
2005,WZ08-454,"Sale, maintenance,repair of motorcycles, rel.parts",1 to 2 persons employed,1362.0,1370.0,2039.0,258.0,190.0,127.0,175.0,8.0,1.0,32.1,223.0
2005,WZ08-454,"Sale, maintenance,repair of motorcycles, rel.parts",3 to 5 persons employed,1133.0,1159.0,3934.0,527.0,465.0,134.0,390.0,9.0,2.0,25.9,496.0
2005,WZ08-454,"Sale, maintenance,repair of motorcycles, rel.parts",6 to 19 persons employed,550.0,754.0,5200.0,987.0,1796.0,190.0,710.0,6.0,3.0,28.1,905.0
2005,WZ08-454,"Sale, maintenance,repair of motorcycles, rel.parts",20 or more persons employed,83.0,152.0,2559.0,740.0,8885.0,289.0,557.0,9.0,1.0,24.7,666.0
2005,WZ08-45-02,"Sale and repair of motor vehicles, sale of fuel",1 to 2 persons employed,24712.0,24963.0,35617.0,7805.0,316.0,219.0,5735.0,143.0,35.0,26.5,6585.0
2005,WZ08-45-02,"Sale and repair of motor vehicles, sale of fuel",3 to 5 persons employed,22892.0,23482.0,83520.0,11254.0,492.0,135.0,7643.0,212.0,71.0,32.1,9999.0
2005,WZ08-45-02,"Sale and repair of motor vehicles, sale of fuel",6 to 19 persons employed,19913.0,21745.0,199040.0,36517.0,1834.0,183.0,25021.0,721.0,253.0,31.5,32210.0
2005,WZ08-45-02,"Sale and repair of motor vehicles, sale of fuel",20 or more persons employed,5948.0,14834.0,339902.0,117385.0,19736.0,345.0,86403.0,1448.0,662.0,26.4,106990.0
2005,WZ08-451-01,"Sale of motor vehicles, parts and accessories",1 to 2 persons employed,14329.0,14540.0,20083.0,6132.0,428.0,305.0,4878.0,112.0,25.0,20.5,5393.0
2005,WZ08-451-01,"Sale of motor vehicles, parts and accessories",3 to 5 persons employed,10319.0,10767.0,36298.0,7410.0,718.0,204.0,5760.0,130.0,55.0,22.3,6894.0
2005,WZ08-451-01,"Sale of motor vehicles, parts and accessories",6 to 19 persons employed,9848.0,10930.0,100664.0,25479.0,2587.0,253.0,18655.0,454.0,188.0,26.8,23035.0
2005,WZ08-451-01,"Sale of motor vehicles, parts and accessories",20 or more persons employed,4419.0,11896.0,281331.0,107886.0,24412.0,383.0,81080.0,1288.0,630.0,24.8,99266.0
2005,WZ08-4511-01,"Sale of cars,light motor vehicles, parts,accessor.",1 to 2 persons employed,12086.0,12289.0,16817.0,5574.0,461.0,331.0,4461.0,100.0,24.0,20.0,4884.0
2005,WZ08-4511-01,"Sale of cars,light motor vehicles, parts,accessor.",3 to 5 persons employed,8588.0,8958.0,30157.0,6505.0,757.0,216.0,5107.0,118.0,52.0,21.5,6043.0
2005,WZ08-4511-01,"Sale of cars,light motor vehicles, parts,accessor.",6 to 19 persons employed,8679.0,9472.0,88769.0,23176.0,2670.0,261.0,17050.0,435.0,182.0,26.4,20933.0
2005,WZ08-4511-01,"Sale of cars,light motor vehicles, parts,accessor.",20 or more persons employed,3988.0,10450.0,245485.0,96427.0,24181.0,393.0,72679.0,1157.0,616.0,24.6,88591.0
2005,WZ08-46,"Wholesale trade, except motor vehicles,motorcycles",1 to 2 persons employed,37394.0,37988.0,52082.0,39649.0,1060.0,761.0,35981.0,135.0,39.0,9.3,37954.0
2005,WZ08-46,"Wholesale trade, except motor vehicles,motorcycles",3 to 5 persons employed,20048.0,21914.0,75069.0,25865.0,1290.0,345.0,20760.0,138.0,30.0,19.7,24462.0
2005,WZ08-46,"Wholesale trade, except motor vehicles,motorcycles",6 to 19 persons employed,20280.0,25934.0,206989.0,94528.0,4661.0,457.0,76440.0,565.0,133.0,19.1,90312.0
2005,WZ08-46,"Wholesale trade, except motor vehicles,motorcycles",20 or more persons employed,10561.0,43274.0,871340.0,529972.0,50182.0,608.0,430892.0,3395.0,687.0,18.7,512002.0
2005,WZ08-461,Wholesale on a fee or contract basis,1 to 2 persons employed,16351.0,16754.0,21029.0,1352.0,83.0,64.0,75.0,41.0,12.0,94.5,532.0
2005,WZ08-461,Wholesale on a fee or contract basis,3 to 5 persons employed,2621.0,2818.0,8748.0,522.0,199.0,60.0,33.0,16.0,1.0,93.7,328.0
2005,WZ08-461,Wholesale on a fee or contract basis,6 to 19 persons employed,933.0,1014.0,8632.0,823.0,882.0,95.0,64.0,11.0,5.0,92.3,583.0
2005,WZ08-461,Wholesale on a fee or contract basis,20 or more persons employed,121.0,166.0,7819.0,1277.0,10588.0,163.0,308.0,11.0,2.0,75.9,1162.0
2005,WZ08-462,"Wholesale of agric. raw materials, live animals",1 to 2 persons employed,2467.0,2494.0,3667.0,1721.0,698.0,469.0,1493.0,9.0,4.0,13.3,1653.0
2005,WZ08-462,"Wholesale of agric. raw materials, live animals",3 to 5 persons employed,1582.0,1589.0,5838.0,2581.0,1631.0,442.0,2127.0,7.0,3.0,17.6,2381.0
2005,WZ08-462,"Wholesale of agric. raw materials, live animals",6 to 19 persons employed,1153.0,1406.0,11224.0,8004.0,6942.0,713.0,6987.0,47.0,3.0,12.7,7646.0
2005,WZ08-462,"Wholesale of agric. raw materials, live animals",20 or more persons employed,448.0,2530.0,30936.0,24162.0,53986.0,781.0,20991.0,160.0,22.0,13.1,23259.0
2005,WZ08-4621,"Wholesale of grain, unmanuf. tobacco, seeds etc.",1 to 2 persons employed,683.0,684.0,1139.0,517.0,757.0,454.0,404.0,1.0,1.0,21.8,485.0
2005,WZ08-4621,"Wholesale of grain, unmanuf. tobacco, seeds etc.",3 to 5 persons employed,392.0,395.0,1384.0,765.0,1952.0,553.0,609.0,1.0,0.0,20.3,694.0
2005,WZ08-4621,"Wholesale of grain, unmanuf. tobacco, seeds etc.",6 to 19 persons employed,348.0,459.0,3933.0,2503.0,7186.0,637.0,2106.0,15.0,1.0,15.9,2381.0
2005,WZ08-4621,"Wholesale of grain, unmanuf. tobacco, seeds etc.",20 or more persons employed,263.0,2134.0,21083.0,18894.0,71851.0,896.0,16450.0,101.0,17.0,12.9,18139.0
2005,WZ08-4622,Wholesale of flowers and plants,1 to 2 persons employed,363.0,363.0,607.0,130.0,357.0,214.0,99.0,2.0,0.0,23.8,123.0
2005,WZ08-4622,Wholesale of flowers and plants,3 to 5 persons employed,366.0,366.0,1325.0,339.0,924.0,256.0,269.0,1.0,0.0,20.6,312.0
2005,WZ08-4622,Wholesale of flowers and plants,6 to 19 persons employed,447.0,509.0,3808.0,943.0,2109.0,248.0,701.0,14.0,1.0,25.7,879.0
2005,WZ08-4622,Wholesale of flowers and plants,20 or more persons employed,88.0,233.0,5464.0,1854.0,21058.0,339.0,1450.0,41.0,2.0,21.8,1760.0
2005,WZ08-4623,Wholesale of live animals,1 to 2 persons employed,1289.0,1315.0,1685.0,1062.0,824.0,630.0,981.0,6.0,3.0,7.6,1034.0
2005,WZ08-4623,Wholesale of live animals,3 to 5 persons employed,720.0,724.0,2670.0,1303.0,1810.0,488.0,1115.0,5.0,3.0,14.4,1206.0
2005,WZ08-4623,Wholesale of live animals,6 to 19 persons employed,295.0,376.0,3002.0,4348.0,14760.0,1448.0,4011.0,19.0,1.0,7.7,4188.0
2005,WZ08-4623,Wholesale of live animals,20 or more persons employed,87.0,140.0,3757.0,3134.0,35901.0,834.0,2859.0,17.0,2.0,8.8,3086.0
2005,WZ08-4624,"Wholesale of hides, skins and leather",1 to 2 persons employed,132.0,132.0,235.0,12.0,92.0,51.0,8.0,0.0,0.0,34.0,11.0
2005,WZ08-4624,"Wholesale of hides, skins and leather",3 to 5 persons employed,104.0,104.0,460.0,174.0,1677.0,378.0,133.0,0.0,0.0,23.4,170.0
2005,WZ08-4624,"Wholesale of hides, skins and leather",6 to 19 persons employed,63.0,63.0,481.0,209.0,3332.0,434.0,169.0,0.0,0.0,18.9,197.0
2005,WZ08-4624,"Wholesale of hides, skins and leather",20 or more persons employed,9.0,25.0,632.0,280.0,30283.0,443.0,232.0,2.0,1.0,17.1,273.0
2005,WZ08-463,"Wholesale of food, beverages and tobacco",1 to 2 persons employed,2634.0,2646.0,4061.0,3516.0,1335.0,866.0,3232.0,7.0,9.0,8.1,3430.0
2005,WZ08-463,"Wholesale of food, beverages and tobacco",3 to 5 persons employed,2427.0,2751.0,8962.0,4887.0,2013.0,545.0,4246.0,20.0,2.0,13.1,4748.0
2005,WZ08-463,"Wholesale of food, beverages and tobacco",6 to 19 persons employed,3161.0,4388.0,34694.0,18600.0,5884.0,536.0,15835.0,94.0,23.0,14.9,17932.0
2005,WZ08-463,"Wholesale of food, beverages and tobacco",20 or more persons employed,1965.0,15476.0,164159.0,100034.0,50898.0,609.0,83219.0,624.0,95.0,16.8,97320.0
2005,WZ08-4631,Wholesale of fruit and vegetables,1 to 2 persons employed,477.0,482.0,744.0,367.0,769.0,492.0,302.0,0.0,0.0,17.6,346.0
2005,WZ08-4631,Wholesale of fruit and vegetables,3 to 5 persons employed,425.0,459.0,1588.0,1265.0,2979.0,797.0,1090.0,6.0,0.0,13.9,1217.0
2005,WZ08-4631,Wholesale of fruit and vegetables,6 to 19 persons employed,545.0,636.0,6158.0,3766.0,6905.0,612.0,3257.0,24.0,2.0,13.5,3630.0
2005,WZ08-4631,Wholesale of fruit and vegetables,20 or more persons employed,371.0,654.0,21624.0,12386.0,33371.0,573.0,10132.0,61.0,7.0,18.2,11747.0
2005,WZ08-4632,Wholesale of meat and meat products,1 to 2 persons employed,340.0,341.0,457.0,703.0,2064.0,1538.0,662.0,1.0,0.0,5.8,697.0
2005,WZ08-4632,Wholesale of meat and meat products,3 to 5 persons employed,239.0,250.0,856.0,1085.0,4547.0,1267.0,994.0,2.0,0.0,8.4,1062.0
2005,WZ08-4632,Wholesale of meat and meat products,6 to 19 persons employed,303.0,313.0,3185.0,2712.0,8941.0,851.0,2385.0,19.0,7.0,12.0,2602.0
2005,WZ08-4632,Wholesale of meat and meat products,20 or more persons employed,332.0,630.0,17300.0,10228.0,30836.0,591.0,8438.0,103.0,7.0,17.5,9853.0
2005,WZ08-4633,"Wholesale of dairy products,eggs,edible oils,fats",1 to 2 persons employed,218.0,218.0,327.0,1017.0,4664.0,3107.0,975.0,2.0,8.0,4.1,1007.0
2005,WZ08-4633,"Wholesale of dairy products,eggs,edible oils,fats",3 to 5 persons employed,180.0,230.0,602.0,344.0,1915.0,571.0,313.0,0.0,0.0,8.9,335.0
2005,WZ08-4633,"Wholesale of dairy products,eggs,edible oils,fats",6 to 19 persons employed,83.0,133.0,1134.0,1687.0,20362.0,1488.0,1525.0,0.0,0.0,9.6,1632.0
2005,WZ08-4633,"Wholesale of dairy products,eggs,edible oils,fats",20 or more persons employed,171.0,232.0,7083.0,4551.0,26567.0,642.0,3976.0,19.0,2.0,12.6,4516.0
2005,WZ08-4634,Wholesale of beverages,1 to 2 persons employed,869.0,869.0,1356.0,900.0,1036.0,664.0,830.0,1.0,1.0,7.8,871.0
2005,WZ08-4634,Wholesale of beverages,3 to 5 persons employed,700.0,737.0,2530.0,467.0,668.0,185.0,348.0,7.0,1.0,25.7,437.0
2005,WZ08-4634,Wholesale of beverages,6 to 19 persons employed,1116.0,1604.0,11376.0,2531.0,2268.0,222.0,1962.0,23.0,10.0,22.5,2455.0
2005,WZ08-4634,Wholesale of beverages,20 or more persons employed,589.0,12604.0,40551.0,16848.0,28623.0,415.0,13118.0,140.0,15.0,22.1,16486.0
2005,WZ08-4635,Wholesale of tobacco products,1 to 2 persons employed,110.0,111.0,194.0,83.0,751.0,428.0,75.0,0.0,0.0,9.0,81.0
2005,WZ08-4635,Wholesale of tobacco products,3 to 5 persons employed,13.0,13.0,41.0,310.0,23919.0,7583.0,299.0,0.0,0.0,3.6,305.0
2005,WZ08-4635,Wholesale of tobacco products,6 to 19 persons employed,96.0,120.0,1140.0,1175.0,12224.0,1031.0,1106.0,11.0,0.0,5.8,1152.0
2005,WZ08-4635,Wholesale of tobacco products,20 or more persons employed,35.0,99.0,7705.0,11261.0,322266.0,1462.0,10358.0,32.0,4.0,8.0,11043.0
2005,WZ08-4636,"Wholesale of sugar, chocolate, sugar confectionery",1 to 2 persons employed,6.0,6.0,8.0,172.0,28713.0,21534.0,169.0,0.0,0.0,2.1,171.0
2005,WZ08-4636,"Wholesale of sugar, chocolate, sugar confectionery",3 to 5 persons employed,11.0,14.0,38.0,85.0,7734.0,2239.0,79.0,0.0,0.0,7.1,87.0
2005,WZ08-4636,"Wholesale of sugar, chocolate, sugar confectionery",6 to 19 persons employed,79.0,82.0,943.0,1241.0,15673.0,1316.0,1027.0,3.0,0.0,17.2,1139.0
2005,WZ08-4636,"Wholesale of sugar, chocolate, sugar confectionery",20 or more persons employed,81.0,260.0,4391.0,2508.0,31072.0,571.0,1797.0,6.0,1.0,28.3,2434.0
2005,WZ08-4637,"Wholesale of coffee, tea, cocoa and spices",1 to 2 persons employed,20.0,20.0,41.0,7.0,324.0,162.0,6.0,1.0,0.0,5.9,7.0
2005,WZ08-4637,"Wholesale of coffee, tea, cocoa and spices",3 to 5 persons employed,14.0,14.0,60.0,72.0,5124.0,1194.0,64.0,0.0,0.0,10.8,71.0
2005,WZ08-4637,"Wholesale of coffee, tea, cocoa and spices",6 to 19 persons employed,158.0,191.0,1760.0,859.0,5447.0,488.0,644.0,1.0,0.0,25.0,811.0
2005,WZ08-4637,"Wholesale of coffee, tea, cocoa and spices",20 or more persons employed,32.0,56.0,3276.0,2686.0,85262.0,820.0,2011.0,5.0,1.0,25.1,2386.0
2005,WZ08-4638,"Wholesale of other food, incl.fish,crustaceans etc",1 to 2 persons employed,289.0,294.0,468.0,176.0,609.0,376.0,141.0,1.0,0.0,19.7,167.0
2005,WZ08-4638,"Wholesale of other food, incl.fish,crustaceans etc",3 to 5 persons employed,470.0,542.0,1784.0,975.0,2074.0,546.0,810.0,4.0,1.0,16.9,946.0
2005,WZ08-4638,"Wholesale of other food, incl.fish,crustaceans etc",6 to 19 persons employed,354.0,801.0,3698.0,2307.0,6515.0,624.0,1955.0,3.0,1.0,15.3,2224.0
2005,WZ08-4638,"Wholesale of other food, incl.fish,crustaceans etc",20 or more persons employed,132.0,290.0,19752.0,12515.0,94590.0,634.0,11138.0,66.0,13.0,11.0,12643.0
2005,WZ08-4639,"Non-specialised wholesale of food, bever., tobacco",1 to 2 persons employed,304.0,304.0,467.0,93.0,305.0,199.0,70.0,0.0,0.0,24.2,83.0
2005,WZ08-4639,"Non-specialised wholesale of food, bever., tobacco",3 to 5 persons employed,377.0,491.0,1462.0,284.0,753.0,194.0,250.0,0.0,0.0,11.9,288.0
2005,WZ08-4639,"Non-specialised wholesale of food, bever., tobacco",6 to 19 persons employed,427.0,508.0,5299.0,2323.0,5447.0,438.0,1971.0,9.0,2.0,15.2,2288.0
2005,WZ08-4639,"Non-specialised wholesale of food, bever., tobacco",20 or more persons employed,223.0,650.0,42478.0,27053.0,121217.0,637.0,22251.0,192.0,46.0,17.8,26210.0
2005,WZ08-464,Wholesale of household goods,1 to 2 persons employed,6185.0,6248.0,8687.0,5432.0,878.0,625.0,4724.0,14.0,2.0,13.0,5115.0
2005,WZ08-464,Wholesale of household goods,3 to 5 persons employed,4696.0,5086.0,18039.0,4951.0,1054.0,274.0,3870.0,22.0,5.0,21.8,4707.0
2005,WZ08-464,Wholesale of household goods,6 to 19 persons employed,4656.0,6216.0,47732.0,17311.0,3718.0,363.0,13000.0,87.0,27.0,24.9,16359.0
2005,WZ08-464,Wholesale of household goods,20 or more persons employed,2891.0,8625.0,252464.0,134200.0,46413.0,532.0,102288.0,829.0,146.0,23.8,130757.0
2005,WZ08-4641,Wholesale of textiles,1 to 2 persons employed,379.0,379.0,549.0,156.0,411.0,284.0,129.0,0.0,0.0,16.9,145.0
2005,WZ08-4641,Wholesale of textiles,3 to 5 persons employed,234.0,249.0,830.0,199.0,854.0,240.0,141.0,1.0,0.0,29.3,187.0
2005,WZ08-4641,Wholesale of textiles,6 to 19 persons employed,158.0,202.0,1795.0,543.0,3433.0,303.0,411.0,1.0,1.0,24.3,518.0
2005,WZ08-4641,Wholesale of textiles,20 or more persons employed,188.0,411.0,9851.0,2420.0,12860.0,246.0,1612.0,27.0,12.0,33.4,2197.0
2005,WZ08-4642,Wholesale of clothing and footwear,1 to 2 persons employed,581.0,581.0,769.0,154.0,265.0,200.0,115.0,0.0,0.0,25.1,146.0
2005,WZ08-4642,Wholesale of clothing and footwear,3 to 5 persons employed,865.0,925.0,3110.0,1020.0,1179.0,328.0,761.0,3.0,0.0,25.4,949.0
2005,WZ08-4642,Wholesale of clothing and footwear,6 to 19 persons employed,605.0,806.0,6424.0,2059.0,3402.0,320.0,1443.0,7.0,1.0,29.9,1904.0
2005,WZ08-4642,Wholesale of clothing and footwear,20 or more persons employed,275.0,1292.0,17428.0,7564.0,27492.0,434.0,5618.0,57.0,4.0,25.7,7213.0
2005,WZ08-4643,Wholesale of electrical household appliances,1 to 2 persons employed,1368.0,1414.0,2031.0,3286.0,2401.0,1618.0,3107.0,2.0,0.0,5.4,3177.0
2005,WZ08-4643,Wholesale of electrical household appliances,3 to 5 persons employed,956.0,972.0,3716.0,1018.0,1065.0,274.0,783.0,7.0,3.0,23.1,976.0
2005,WZ08-4643,Wholesale of electrical household appliances,6 to 19 persons employed,1027.0,1918.0,10920.0,4448.0,4329.0,407.0,3491.0,13.0,2.0,21.5,4231.0
2005,WZ08-4643,Wholesale of electrical household appliances,20 or more persons employed,789.0,1935.0,61839.0,40820.0,51717.0,660.0,32624.0,234.0,66.0,20.1,39624.0
2005,WZ08-4644,"Wholesale of china, glassware, cleaning materials",1 to 2 persons employed,360.0,360.0,511.0,64.0,177.0,125.0,45.0,0.0,0.0,28.8,60.0
2005,WZ08-4644,"Wholesale of china, glassware, cleaning materials",3 to 5 persons employed,200.0,204.0,702.0,80.0,400.0,114.0,55.0,0.0,0.0,30.8,75.0
2005,WZ08-4644,"Wholesale of china, glassware, cleaning materials",6 to 19 persons employed,89.0,105.0,1101.0,637.0,7168.0,579.0,506.0,1.0,1.0,20.6,617.0
2005,WZ08-4644,"Wholesale of china, glassware, cleaning materials",20 or more persons employed,152.0,1000.0,7557.0,2029.0,13355.0,268.0,1295.0,29.0,2.0,36.2,1977.0
2005,WZ08-4645,Wholesale of perfume and cosmetics,1 to 2 persons employed,326.0,326.0,415.0,91.0,279.0,219.0,69.0,0.0,0.0,23.8,83.0
2005,WZ08-4645,Wholesale of perfume and cosmetics,3 to 5 persons employed,117.0,117.0,454.0,65.0,554.0,142.0,40.0,0.0,0.0,37.7,66.0
2005,WZ08-4645,Wholesale of perfume and cosmetics,6 to 19 persons employed,200.0,215.0,1776.0,654.0,3266.0,368.0,489.0,1.0,0.0,25.2,605.0
2005,WZ08-4645,Wholesale of perfume and cosmetics,20 or more persons employed,90.0,378.0,17116.0,5932.0,66180.0,347.0,3174.0,59.0,5.0,46.5,6110.0
2005,WZ08-4646,Wholesale of pharmaceutical goods,1 to 2 persons employed,745.0,747.0,1034.0,805.0,1080.0,779.0,612.0,1.0,0.0,24.1,738.0
2005,WZ08-4646,Wholesale of pharmaceutical goods,3 to 5 persons employed,555.0,659.0,2305.0,513.0,925.0,223.0,362.0,6.0,0.0,29.5,485.0
2005,WZ08-4646,Wholesale of pharmaceutical goods,6 to 19 persons employed,781.0,931.0,8333.0,3670.0,4702.0,440.0,2788.0,28.0,2.0,24.0,3475.0
2005,WZ08-4646,Wholesale of pharmaceutical goods,20 or more persons employed,544.0,1887.0,70371.0,46096.0,84746.0,655.0,35579.0,186.0,34.0,22.8,45518.0
2005,WZ08-4647,"Wholesale of furniture,carpets,lighting equipment",1 to 2 persons employed,445.0,445.0,696.0,103.0,232.0,149.0,69.0,1.0,0.0,33.5,91.0
2005,WZ08-4647,"Wholesale of furniture,carpets,lighting equipment",3 to 5 persons employed,226.0,226.0,819.0,141.0,626.0,172.0,109.0,0.0,0.0,22.9,132.0
2005,WZ08-4647,"Wholesale of furniture,carpets,lighting equipment",6 to 19 persons employed,248.0,254.0,2861.0,1148.0,4621.0,401.0,850.0,16.0,3.0,25.9,1106.0
2005,WZ08-4647,"Wholesale of furniture,carpets,lighting equipment",20 or more persons employed,113.0,282.0,5874.0,3949.0,35069.0,672.0,3102.0,81.0,1.0,21.4,3790.0
2005,WZ08-4648,Wholesale of watches and jewellery,1 to 2 persons employed,466.0,466.0,705.0,161.0,344.0,228.0,131.0,2.0,0.0,18.3,148.0
2005,WZ08-4648,Wholesale of watches and jewellery,3 to 5 persons employed,232.0,232.0,828.0,1089.0,4703.0,1315.0,1005.0,0.0,0.0,7.7,1050.0
2005,WZ08-4648,Wholesale of watches and jewellery,6 to 19 persons employed,371.0,371.0,3119.0,1020.0,2751.0,327.0,736.0,6.0,1.0,27.8,947.0
2005,WZ08-4648,Wholesale of watches and jewellery,20 or more persons employed,78.0,159.0,4548.0,1129.0,14523.0,248.0,807.0,7.0,0.0,28.5,1072.0
2005,WZ08-4649,Wholesale of other household goods,1 to 2 persons employed,1515.0,1530.0,1977.0,613.0,405.0,310.0,447.0,7.0,1.0,27.2,528.0
2005,WZ08-4649,Wholesale of other household goods,3 to 5 persons employed,1312.0,1503.0,5275.0,826.0,629.0,157.0,614.0,5.0,1.0,25.7,787.0
2005,WZ08-4649,Wholesale of other household goods,6 to 19 persons employed,1176.0,1413.0,11403.0,3132.0,2663.0,275.0,2286.0,14.0,16.0,27.0,2957.0
2005,WZ08-4649,Wholesale of other household goods,20 or more persons employed,663.0,1282.0,57881.0,24261.0,36595.0,419.0,18477.0,150.0,21.0,23.8,23257.0
2005,WZ08-465,"Wholesale of information, communication equipment",1 to 2 persons employed,820.0,824.0,1230.0,121.0,147.0,98.0,77.0,1.0,0.0,35.9,104.0
2005,WZ08-465,"Wholesale of information, communication equipment",3 to 5 persons employed,568.0,572.0,2028.0,436.0,768.0,215.0,328.0,2.0,0.0,24.9,419.0
2005,WZ08-465,"Wholesale of information, communication equipment",6 to 19 persons employed,977.0,1302.0,10610.0,2740.0,2805.0,258.0,1908.0,19.0,10.0,30.4,2583.0
2005,WZ08-465,"Wholesale of information, communication equipment",20 or more persons employed,516.0,1145.0,46982.0,34545.0,66991.0,735.0,28350.0,93.0,9.0,17.9,33278.0
